policy,seed,episode_return,success,steps,action_energy,max_position,final_position
random,2075,-33.855965218434186,False,999,338.55965218434204,0.08785043656826019,-0.916304349899292
random,2076,-33.12162581744439,False,999,331.2162581744433,0.0955766811966896,0.0955766811966896
random,2077,-33.06712699409801,False,999,330.6712699409803,-0.12492544949054718,-0.4709879755973816
random,2078,-33.33935732401781,False,999,333.3935732401783,-0.20948445796966553,-0.3679395020008087
random,2079,-33.45965122883366,False,999,334.59651228833656,-0.3345268964767456,-0.5061323642730713
random,2080,-33.66603798171548,False,999,336.6603798171548,-0.2629784643650055,-0.4948584735393524
random,2081,-33.38295067964879,False,999,333.8295067964878,-0.23918011784553528,-0.5028975009918213
random,2082,-33.3571326723971,False,999,333.57132672397125,-0.24362511932849884,-0.6861861348152161
random,2083,-33.571180909613716,False,999,335.71180909613713,-0.19367755949497223,-0.6884800791740417
random,2084,-32.24186313898753,False,999,322.4186313898762,0.1298152506351471,-0.4327775835990906
random,2085,-33.75982487566009,False,999,337.59824875660155,-0.11232025921344757,-0.16903719305992126
random,2086,-33.32799883005633,False,999,333.27998830056316,-0.2681134045124054,-0.4551621973514557
random,2087,-33.86881542637745,False,999,338.6881542637742,0.0852159634232521,0.0852159634232521
random,2088,-32.14575596307138,False,999,321.45755963071355,-0.23531809449195862,-0.436955064535141
random,2089,-35.46478288398533,False,999,354.64782883985345,-0.18333303928375244,-0.7484965920448303
random,2090,-32.053741465113895,False,999,320.537414651139,-0.15737053751945496,-0.29922622442245483
random,2091,-32.3365490643807,False,999,323.3654906438068,-0.1976817101240158,-0.33610379695892334
random,2092,-33.63167616233282,False,999,336.3167616233286,-0.012575074099004269,-0.06711223721504211
random,2093,-34.38535410479026,False,999,343.85354104790355,0.14125119149684906,-1.1607234477996826
random,2094,-33.25425523552191,False,999,332.5425523552191,-0.30770304799079895,-0.3594924509525299
random,2095,-34.22190950097393,False,999,342.21909500973953,-0.2836425304412842,-0.4979836642742157
random,2096,-34.13735984867075,False,999,341.37359848670695,-0.2845599353313446,-0.36458274722099304
random,2097,-32.70042416947179,False,999,327.0042416947178,0.01716836728155613,-0.383853018283844
random,2098,-32.72802716351375,False,999,327.2802716351386,-0.15076015889644623,-0.1646428108215332
random,2099,-33.73607132479701,False,999,337.3607132479709,-0.2626672685146332,-0.395693838596344
random,2100,-33.60821224798636,False,999,336.08212247986376,-0.3584679663181305,-0.6293637752532959
random,2101,-33.941463963422606,False,999,339.41463963422694,-0.3067863881587982,-0.5142996907234192
random,2102,-33.37908565125707,False,999,333.7908565125703,-0.29617729783058167,-0.6708945035934448
random,2103,-32.46508885739156,False,999,324.6508885739156,-0.2986704111099243,-0.6554847955703735
random,2104,-34.29301106128485,False,999,342.93011061284886,-0.1977025270462036,-0.7308338284492493
random,2105,-33.10285518782238,False,999,331.0285518782246,-0.1629704236984253,-0.7863516807556152
random,2106,-33.25903335171352,False,999,332.5903335171357,-0.08435189723968506,-0.588342547416687
random,2107,-33.369315078710734,False,999,333.6931507871076,-0.39066973328590393,-0.46727174520492554
random,2108,-33.625363176471545,False,999,336.25363176471586,-0.24499858915805817,-0.43446609377861023
random,2109,-33.04117066545286,False,999,330.4117066545283,-0.2742100954055786,-0.48372262716293335
random,2110,-34.19235308578916,False,999,341.9235308578918,-0.3721439838409424,-0.5098205804824829
random,2111,-35.16946564321567,False,999,351.69465643215665,-0.24092723429203033,-0.4903227686882019
random,2112,-31.83642104434435,False,999,318.36421044344314,0.08994488418102264,-0.2774481475353241
random,2113,-32.064472391938715,False,999,320.6447239193876,-0.11944040656089783,-0.3260139524936676
random,2114,-32.722900388818935,False,999,327.22900388818925,0.08959342539310455,-0.8186377286911011
random,2115,-33.77354897804117,False,999,337.7354897804114,-0.13039790093898773,-0.2270011305809021
random,2116,73.34259571775999,True,825,266.5740428224001,0.4521001875400543,0.4521001875400543
